Вакансия;Ссылка;Компания;Зарплата;Станция метро
Специалист по тестированию (QA);https://spb.hh.ru/vacancy/36795278?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; goods ;Специалист по тестированию (QA);Не указано
Инженер-тестировщик (Санкт-Петербург);https://spb.hh.ru/vacancy/36560617?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; IBS ;Инженер-тестировщик (Санкт-Петербург);Не указано
Senior QA engineer;https://spb.hh.ru/vacancy/36803039?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Arrival Digital ;Senior QA engineer;Горьковская
Senior / Lead QA Engineer;https://spb.hh.ru/vacancy/36649102?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Playvision ;Senior / Lead QA Engineer;Выборгская
Тестировщик программного обеспечения;https://spb.hh.ru/vacancy/36741468?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Взлет, ГК ;Тестировщик программного обеспечения;Кировский завод
Инженер-тестировщик;https://spb.hh.ru/vacancy/35058233?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ЭВРИКА, Санкт-Петербург ;Инженер-тестировщик;Не указано
Тестировщик ПО;https://spb.hh.ru/vacancy/36754534?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Varwin ;Тестировщик ПО;Не указано
Технический писатель;https://spb.hh.ru/vacancy/36120791?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Fortis ;Технический писатель;Звёздная
Инженер по тестированию ПО;https://spb.hh.ru/vacancy/36787482?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; АТОЛ, группа компаний ;Инженер по тестированию ПО;Не указано
Тестировщик;https://spb.hh.ru/vacancy/36693308?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Курьер Сервис Экспресс ;Тестировщик;Обухово
