Вакансия;Ссылка;Компания;Зарплата;Станция метро
Бизнес-аналитик / системный аналитик (Middle);https://spb.hh.ru/vacancy/36614787?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; RuNetSoft ;Бизнес-аналитик / системный аналитик (Middle);Не указано
Тестировщик/QA Инженер (нагрузочное тестирование);https://spb.hh.ru/vacancy/31730588?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Центральный банк Российской Федерации ;Тестировщик/QA Инженер (нагрузочное тестирование);Не указано
Редактор онлайн-курсов;https://spb.hh.ru/vacancy/36816002?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Технологии в образовании ;Редактор онлайн-курсов;Не указано
Тестировщик (ФТ);https://spb.hh.ru/vacancy/36797983?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО АЙФЭЛЛ ;Тестировщик (ФТ);Не указано
Помощник руководителя IT-компании / руководитель проекта;https://spb.hh.ru/vacancy/36818461?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Виста ;Помощник руководителя IT-компании / руководитель проекта;Не указано
Front-end developer;https://spb.hh.ru/vacancy/35154876?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ЛАНИТ-ТЕРКОМ ;Front-end developer;Не указано
Заместитель начальника отдела разработки программного обеспечения;https://spb.hh.ru/vacancy/36507811?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; РАМЭК - ВС ;Заместитель начальника отдела разработки программного обеспечения;Парнас
Middle/Senior QA Engineer (JustAI);https://spb.hh.ru/vacancy/36499896?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; i-FREE ;Middle/Senior QA Engineer (JustAI);Не указано
Senior QA Engineer (Java/Python);https://spb.hh.ru/vacancy/36781911?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; the_covert ;Senior QA Engineer (Java/Python);Не указано
Senior QA Engineer (Services);https://spb.hh.ru/vacancy/36267044?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Bercut ;Senior QA Engineer (Services);Пионерская
Lead Backend Developer (Kotlin/ Java);https://spb.hh.ru/vacancy/35082701?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Самокат (ООО Умное пространство) ;Lead Backend Developer (Kotlin/ Java);Петроградская
QA Team Lead (C#/.Net);https://spb.hh.ru/vacancy/36759468?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; IT_Selection ;QA Team Lead (C#/.Net);Не указано
QA automation Lead;https://spb.hh.ru/vacancy/36774276?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; AIPeople ;QA automation Lead;Не указано
QA engineer;https://spb.hh.ru/vacancy/36788609?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Noveo ;QA engineer;Площадь Ленина
QA engineer (IIB);https://spb.hh.ru/vacancy/35852456?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;QA engineer (IIB);Не указано
Системный архитектор;https://spb.hh.ru/vacancy/36508739?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; РАМЭК - ВС ;Системный архитектор;Парнас
Тестировщик ПО (АБС);https://spb.hh.ru/vacancy/35116885?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;Тестировщик ПО (АБС);Не указано
QA engineer (CRM);https://spb.hh.ru/vacancy/36558548?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;QA engineer (CRM);Не указано
Mobile QA Engineer Manual (Middle);https://spb.hh.ru/vacancy/36432728?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; QuadCode ;Mobile QA Engineer Manual (Middle);Не указано
QA Engineer - Performance & Scalability;https://spb.hh.ru/vacancy/36723812?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Veeam Software ;QA Engineer - Performance & Scalability;Не указано
QA engineer;https://spb.hh.ru/vacancy/35569988?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; GS Group. GS Labs ;QA engineer;Не указано
Junior Full Stack Developer (ML);https://spb.hh.ru/vacancy/36795859?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Voir ;Junior Full Stack Developer (ML);Не указано
Senior Machine Learning Engineer;https://spb.hh.ru/vacancy/36795764?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Voir ;Senior Machine Learning Engineer;Не указано
QA Engineer (Mobile team);https://spb.hh.ru/vacancy/36462294?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Intermedia ;QA Engineer (Mobile team);Площадь Александра Невского 1
Data Analyst;https://spb.hh.ru/vacancy/36795895?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Voir ;Data Analyst;Не указано
Senior Deep Learning Engineer;https://spb.hh.ru/vacancy/36795872?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Voir ;Senior Deep Learning Engineer;Не указано
Middle/Senior Automation QA Engineer;https://spb.hh.ru/vacancy/24794970?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Intermedia ;Middle/Senior Automation QA Engineer;Площадь Александра Невского 1
Системный аналитик (Проект Databases UI);https://spb.hh.ru/vacancy/36800704?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Сбербанк - Технологии ;Системный аналитик (Проект Databases UI);Не указано
Systems Analyst (RnD);https://spb.hh.ru/vacancy/36378496?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Bercut ;Systems Analyst (RnD);Пионерская
Junior PHP Developer;https://spb.hh.ru/vacancy/36788000?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Lucky Hunter ;Junior PHP Developer;Не указано
Middle/Senior QA engineer (Billing);https://spb.hh.ru/vacancy/36003664?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Bercut ;Middle/Senior QA engineer (Billing);Не указано
Middle/Senior QA Engineer;https://spb.hh.ru/vacancy/36502556?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Just AI ;Middle/Senior QA Engineer;Чкаловская
Администратор банковских систем на базе MS SQL;https://spb.hh.ru/vacancy/35269571?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;Администратор банковских систем на базе MS SQL;Не указано
Senior QA engineer (RnD);https://spb.hh.ru/vacancy/34735405?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Bercut ;Senior QA engineer (RnD);Пионерская
IOS разработчик;https://spb.hh.ru/vacancy/34902095?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Бэнкс Софт Системс ;IOS разработчик;Не указано
QA Engineer (Anymeeting Media Team);https://spb.hh.ru/vacancy/36713990?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Intermedia ;QA Engineer (Anymeeting Media Team);Площадь Александра Невского 1
QA Engineer (TeamCity);https://spb.hh.ru/vacancy/35608456?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (TeamCity);Новокрестовская
Менеджер проекта / Project manager;https://spb.hh.ru/vacancy/36795545?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Surf ;Менеджер проекта / Project manager;Не указано
Технический писатель [id12682];https://spb.hh.ru/vacancy/36780915?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ПАО «Газпром нефть» ;Технический писатель [id12682];Не указано
Middle/Senior iOS developer (Таллин);https://spb.hh.ru/vacancy/36587119?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; IT_Selection ;Middle/Senior iOS developer (Таллин);Не указано
Системный инженер (DevOps);https://spb.hh.ru/vacancy/30446389?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Big Data Technologies ;Системный инженер (DevOps);Электросила
Специалист по тендерам;https://spb.hh.ru/vacancy/36783572?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО TopAssistant ;Специалист по тендерам;Не указано
Программист С#;https://spb.hh.ru/vacancy/34615048?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО МЕДИНДЕКС ;Программист С#;Петроградская
Инженер технической поддержки программных продуктов;https://spb.hh.ru/vacancy/32237084?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; GS Group. GS Labs ;Инженер технической поддержки программных продуктов;Выборгская
Ведущий дизайнер уровней Match-3 (Lead level designer);https://spb.hh.ru/vacancy/35120058?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Mail.Ru Group, Игры ;Ведущий дизайнер уровней Match-3 (Lead level designer);Не указано
Ведущий менеджер по персоналу (MY.GAMES);https://spb.hh.ru/vacancy/36766875?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Mail.Ru Group, Игры ;Ведущий менеджер по персоналу (MY.GAMES);Не указано
Инженер по ремонту ноутбуков;https://spb.hh.ru/vacancy/36782208?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Полиграф-Комплекс ;Инженер по ремонту ноутбуков;Не указано
QA Team Lead;https://spb.hh.ru/vacancy/36606902?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ЦРПТ ;QA Team Lead;Не указано
Senior/ Middle Backend Developer (Kotlin/Java);https://spb.hh.ru/vacancy/36781238?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Самокат (ООО Умное пространство) ;Senior/ Middle Backend Developer (Kotlin/Java);Петроградская
QA Engineer;https://spb.hh.ru/vacancy/36763167?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; FBS Inc. ;QA Engineer;Не указано
Backend PHP Developer;https://spb.hh.ru/vacancy/35942021?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; AdCombo.com ;Backend PHP Developer;Не указано
Программист игровой логики;https://spb.hh.ru/vacancy/34285397?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Saber Interactive ;Программист игровой логики;Не указано
QA Engineer;https://spb.hh.ru/vacancy/36751536?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО WaveAccess ;QA Engineer;Не указано
QA Automation Engineer;https://spb.hh.ru/vacancy/36751406?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Сбербанк - Технологии ;QA Automation Engineer;Не указано
Systems Analyst (BSS system);https://spb.hh.ru/vacancy/36714227?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Bercut ;Systems Analyst (BSS system);Пионерская
QA engineer (руководитель отдела);https://spb.hh.ru/vacancy/36752637?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО МультиКарта ;QA engineer (руководитель отдела);Нарвская
Инженер-тестировщик 1С [id21554];https://spb.hh.ru/vacancy/36731944?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ПАО «Газпром нефть» ;Инженер-тестировщик 1С [id21554];Фрунзенская
Руководитель отдела тестирования/QA Lead;https://spb.hh.ru/vacancy/36590018?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Маркет Плато ;Руководитель отдела тестирования/QA Lead;Горьковская
IOS разработчик;https://spb.hh.ru/vacancy/35034986?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; 4people ;IOS разработчик;Не указано
Middle/Senior QA Automation (Python);https://spb.hh.ru/vacancy/36729557?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Nexign (АО «Нэксайн») ;Middle/Senior QA Automation (Python);Не указано
Performance Testing Specialist;https://spb.hh.ru/vacancy/35942279?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Performance Testing Specialist;Нарвская
QA Automation Engineer (Kotlin);https://spb.hh.ru/vacancy/36724547?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Automation Engineer (Kotlin);Новокрестовская
Системный аналитик;https://spb.hh.ru/vacancy/36750737?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО МосИнжПроект ;Системный аналитик;Не указано
Инженер по тестированию (R&D);https://spb.hh.ru/vacancy/36422156?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ЦРТ | Группа компаний ;Инженер по тестированию (R&D);Выборгская
Java-разработчик (back-end);https://spb.hh.ru/vacancy/36750785?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО Сбербанк - Технологии ;Java-разработчик (back-end);Не указано
Junior JavaScript developer;https://spb.hh.ru/vacancy/36412509?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Fora Soft (Фора Софт) ;Junior JavaScript developer;Технологический институт
Senior QA Engineer;https://spb.hh.ru/vacancy/36533467?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Space307 ;Senior QA Engineer;Горьковская
Младший специалист по тестированию на проникновение / Junior Penetration Tester;https://spb.hh.ru/vacancy/36697685?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Дейтерий ;Младший специалист по тестированию на проникновение / Junior Penetration Tester;Пролетарская
Lead engineer (performance team);https://spb.hh.ru/vacancy/35437936?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Lead engineer (performance team);Нарвская
Разработчик ‎Android;https://spb.hh.ru/vacancy/35035206?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; 4people ;Разработчик ‎Android;Не указано
Аналитик;https://spb.hh.ru/vacancy/36331553?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО Банк Санкт-Петербург ;Аналитик;Не указано
Senior QA Engineer;https://spb.hh.ru/vacancy/36393176?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Zodiac Interactive ;Senior QA Engineer;Елизаровская
Senior Performance Engineer;https://spb.hh.ru/vacancy/35437897?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Senior Performance Engineer;Нарвская
Senior QA Engineer;https://spb.hh.ru/vacancy/36640845?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Playkot ;Senior QA Engineer;Горьковская
Senior QA engineer;https://spb.hh.ru/vacancy/36717367?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; OpenWay Group ;Senior QA engineer;Выборгская
QA Engineer (Python);https://spb.hh.ru/vacancy/36552958?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Zodiac Interactive ;QA Engineer (Python);Елизаровская
QA Engineer (Rhythm Team);https://spb.hh.ru/vacancy/36741486?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; SEMrush ;QA Engineer (Rhythm Team);Московские ворота
QA Engineer;https://spb.hh.ru/vacancy/35930598?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Zodiac Interactive ;QA Engineer;Не указано
QA Engineer;https://spb.hh.ru/vacancy/35075152?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; AIPeople ;QA Engineer;Беговая
Специалист по анализу и внедрению ПО;https://spb.hh.ru/vacancy/36752618?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; АРТ-БАНК ;Специалист по анализу и внедрению ПО;Не указано
Product Owner;https://spb.hh.ru/vacancy/36728790?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ПАО «МТС»,IT ;Product Owner;Не указано
Automation Tester (IoT);https://spb.hh.ru/vacancy/36724165?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; T-Systems RUS ;Automation Tester (IoT);Не указано
Ведущий Java разработчик;https://spb.hh.ru/vacancy/35296008?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СИГМА ;Ведущий Java разработчик;Елизаровская
Front-end Developer;https://spb.hh.ru/vacancy/35296418?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СИГМА ;Front-end Developer;Елизаровская
Control Systems Test Lead / Руководитель группы тестирования алгоритмов систем управления;https://spb.hh.ru/vacancy/36714428?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ARRIVAL LTD ;Control Systems Test Lead / Руководитель группы тестирования алгоритмов систем управления;Не указано
IoT Automation Tester;https://spb.hh.ru/vacancy/36724032?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; T-Systems RUS ;IoT Automation Tester;Не указано
Тестировщик мобильных и web-приложений (Одноклассники);https://spb.hh.ru/vacancy/30411785?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Mail.Ru Group, Социальные сети, Одноклассники ;Тестировщик мобильных и web-приложений (Одноклассники);Не указано
Web-разработчик (full-stack);https://spb.hh.ru/vacancy/36424672?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ALP Group ;Web-разработчик (full-stack);Не указано
Full Stack разработчик;https://spb.hh.ru/vacancy/36803827?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО ДЖИ БИ СИ ТИМ ;Full Stack разработчик;Не указано
Менеджер продукта (e-Navigation);https://spb.hh.ru/vacancy/36756432?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Группа «Кронштадт» ;Менеджер продукта (e-Navigation);Василеостровская
QA Engineer;https://spb.hh.ru/vacancy/36044017?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; TrendTech ;QA Engineer;Не указано
QA Engineer (Business Applications Development);https://spb.hh.ru/vacancy/35019779?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; JetBrains ;QA Engineer (Business Applications Development);Новокрестовская
IOS разработчик;https://spb.hh.ru/vacancy/36713874?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; KPILead ;IOS разработчик;Не указано
Java Team Lead (RCV);https://spb.hh.ru/vacancy/35267248?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; DINS ;Java Team Lead (RCV);Елизаровская
Automation QA Engineer;https://spb.hh.ru/vacancy/36231735?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Sidenis ;Automation QA Engineer;Московская
Консультант 1С [id34341];https://spb.hh.ru/vacancy/36275396?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ПАО «Газпром нефть» ;Консультант 1С [id34341];Электросила
QA Engineer;https://spb.hh.ru/vacancy/36677846?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Эддреалити ;QA Engineer;Не указано
Ведущий инженер сервисного центра;https://spb.hh.ru/vacancy/36712001?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Ракурс-инжиниринг ;Ведущий инженер сервисного центра;Не указано
Специалист по тестированию;https://spb.hh.ru/vacancy/36662404?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Код Безопасности ;Специалист по тестированию;Площадь Ленина
Тестировщик серверных приложений;https://spb.hh.ru/vacancy/32742258?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Okko ;Тестировщик серверных приложений;Беговая
Ведущий консультант - аналитик Microsoft Dynamics Ax (г. Владимир);https://spb.hh.ru/vacancy/36712406?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;АО АБИ Продакт ;Ведущий консультант - аналитик Microsoft Dynamics Ax (г. Владимир);Не указано
Бизнес-аналитик (CRM+MSD);https://spb.hh.ru/vacancy/36250779?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ABSOL ;Бизнес-аналитик (CRM+MSD);Не указано
Технический писатель;https://spb.hh.ru/vacancy/36688092?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ЦРТ | Группа компаний ;Технический писатель;Выборгская
Трафик-менеджер (MY.GAMES, Studio Nord);https://spb.hh.ru/vacancy/36262259?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Mail.Ru Group, Игры ;Трафик-менеджер (MY.GAMES, Studio Nord);Площадь Александра Невского 1
Lead/ Senior QA (automation);https://spb.hh.ru/vacancy/36216710?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Самокат (ООО Умное пространство) ;Lead/ Senior QA (automation);Петроградская
QA-инженер;https://spb.hh.ru/vacancy/36635480?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;QA-инженер;Не указано
Тестировщик (ручное+авто);https://spb.hh.ru/vacancy/36633478?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Тестировщик (ручное+авто);Не указано
Lead QA Engineer;https://spb.hh.ru/vacancy/34772540?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Самокат (ООО Умное пространство) ;Lead QA Engineer;Петроградская
